FPR,TPR,Threshold
0.02166195318611228,0.9232730053530461,0.635
0.022083157831397797,0.924228906449146,0.63
0.022624706661050605,0.925121080805506,0.625
0.022865395029785185,0.9263318888605659,0.62
0.023286599675070702,0.9271603364771859,0.615
0.0239484926890908,0.9275426969156257,0.61
0.024369697334376317,0.9282436910527657,0.605
0.024610385703110898,0.9286897782309457,0.6
0.025031590348396415,0.9296456793270457,0.595
0.025512967085865576,0.9304104002039255,0.59
0.025994343823334737,0.9313025745602855,0.585
0.026295204284252964,0.9320035686974254,0.58
0.026776581021722125,0.9327682895743054,0.575
0.02737830194355858,0.9334692837114453,0.57
0.02798002286539503,0.9341065511088452,0.565
0.028521571695047838,0.9349987254652052,0.56
0.02882243215596606,0.9356997196023451,0.555
0.029544497262169806,0.9362095335202651,0.55
0.030086046091822614,0.936846800917665,0.545
0.030447078644924484,0.937866428753505,0.54
0.0315301763042301,0.9387586031098649,0.53
0.032192069318250194,0.9396507774662248,0.525
0.032733618147903,0.9402880448636248,0.52
0.03321499488537216,0.9409253122610247,0.515
0.03399723208375955,0.9416263063981647,0.51
0.03429809254467778,0.9420723935763446,0.505
0.03502015765088152,0.9428371144532246,0.5
0.035501534388350686,0.9433469283711445,0.495
0.036103255310187134,0.9437930155493245,0.49
0.03706600878512546,0.9448763701249044,0.485
0.03790841807569649,0.9455136375223043,0.48
0.03893134364281846,0.9463420851389243,0.475
0.03983392502557314,0.9467881723171042,0.47
0.04055599013177688,0.9478715268926842,0.465
0.04109753896142969,0.9486999745093041,0.46
0.04206029243636801,0.949528422125924,0.455
0.042662013358204465,0.9504205964822839,0.45
0.04332390637222456,0.9508666836604639,0.445
0.044166315662795594,0.9515039510578639,0.44
0.04476803658463205,0.9520774917155238,0.435
0.04579096215175402,0.9526510323731838,0.43
0.04639268307359047,0.9530971195513638,0.425
0.04675371562669234,0.9540530206474637,0.42
0.0478969853781816,0.9548177415243436,0.415
0.048980083037487215,0.9552001019627836,0.41
0.04964197605150731,0.9560922763191435,0.405
0.0504242132498947,0.9566020902370634,0.4
0.051447138817016666,0.9574942645934233,0.395
0.05204885973885312,0.9580678052510834,0.39
0.05277092484505686,0.9585776191690033,0.385
0.05367350622781154,0.9591511598266632,0.38
0.05469643179493351,0.9598521539638032,0.375
0.05565918526987183,0.9606806015804231,0.37
0.05650159456044287,0.9611266887586031,0.365
0.05764486431193212,0.9617002294162631,0.36
0.058788134063421385,0.962528677032883,0.355
0.05975088753835971,0.9631659444302829,0.35
0.060533124736747095,0.9639943920469028,0.345
0.06209759913352187,0.9643130257456028,0.34
0.06348155725374571,0.9648228396635228,0.335
0.06462482700523497,0.9652689268417027,0.33
0.06600878512545881,0.9661611011980628,0.325
0.06721222696913172,0.9667983685954626,0.32
0.06907756182682472,0.9673081825133826,0.315
0.07004031530176304,0.9678179964313026,0.31
0.07124375714543595,0.9682003568697426,0.305
0.07274805945002707,0.9687101707876625,0.3
0.07419218966243456,0.9693474381850624,0.295
0.07641855707322943,0.9696660718837624,0.29
0.0781033756543715,0.9700484323222024,0.285
0.07984836632769722,0.9708768799388223,0.28
