Precision,Recall
0.9733832675717248,0.9275426969156257
0.9740894483128013,0.9271603364771859
0.9745240010726737,0.9263318888605659
0.9747532397770765,0.925121080805506
0.9753194351042367,0.924228906449146
0.9757543103448276,0.9232730053530461
0.9762402969962876,0.9216798368595462
0.9766247804350764,0.9212337496813663
0.9770021645021645,0.9204690288044863
0.977710027100271,0.9196405811878664
0.9784172661870504,0.9186846800917665
0.9787899388171312,0.9175375987764466
0.979358266911915,0.9161356105021667
0.9799303706737661,0.9147973489676268
0.9801750068362045,0.9137139943920469
0.980625727390977,0.912821820035687
0.9811475971755673,0.9120570991588071
0.9814636825484003,0.9110374713229671
0.9818481848184818,0.9100178434871272
0.9822240595287309,0.9084884017333673
0.9825408874473811,0.9073413204180474
0.9829243000345662,0.9060667856232475
0.9831118493909191,0.9051746112668876
0.9835020102592541,0.9041549834310477
0.9840299958339119,0.9031353555952077
0.9843412902776811,0.9013510068824879
0.9846604378747734,0.899949018608208
0.98505273451142,0.8987382105531481
0.9852961770060216,0.8967626816212083
0.9855600729006029,0.8959979607443284
0.9859520966495751,0.8945322457303084
0.9860720315137873,0.8933214376752485
0.9866084014660276,0.8920469028804486
0.9870056497175141,0.8906449146061688
0.987407145383799,0.8894341065511089
0.9876674463108654,0.8880321182768289
0.9880613985218875,0.8860565893448891
0.9886736002279527,0.8844634208513893
0.9887945185925344,0.8828702523578894
0.9888412017167382,0.8809584501656895
0.98889286993909,0.8794290084119296
0.9892179413456009,0.8770073923018098
0.9894789940188802,0.87503186336987
0.9895983819705287,0.8730563344379302
0.9902287203242617,0.8718455263828703
0.9903469298882276,0.8695513637522304
0.9905351292318894,0.8670022941626306
0.9907941842624388,0.8641983176140708
0.9911342321219226,0.862031608462911
0.9911868390129259,0.8600560795309712
0.9913684987089635,0.8563599286260515
0.9914144030789727,0.8536196788172317
0.9916153446612748,0.8516441498852919
0.9918856547308866,0.849095080295692
0.9924502915233966,0.8460999235279123
0.992500374981251,0.8433596737190925
0.9927001806140879,0.8406194239102728
0.9928263988522238,0.837879174101453
0.9927910153285779,0.8337369360183533
0.9928375495275831,0.8303594188121336
0.9931045050566963,0.8260260005098139
0.9933764633394948,0.8219474891664542
0.9936493184634448,0.8176140708641346
0.9940754599314,0.812643385164415
0.9941263998746965,0.8089472342594953
0.9943262411347518,0.8041040020392557
0.9946922284718371,0.800152944175376
0.9952137843012125,0.7950548049961764
0.9956581169092225,0.7891282182003568
0.9961086339683827,0.7830104511853173
0.9963996399639964,0.7760005098139179
0.9966895638500373,0.7674611266887587
0.9969816382996562,0.7577746622482794
0.997196976131827,0.7481519245475401
0.9976685951126846,0.7362987509559011
0.9982332155477032,0.7201121590619424
0.9985453223020274,0.699910782564364
0.9987657837273332,0.6704053020647464
0.9987493486190724,0.6106933469283712
1.0,0.0
